,selected_digits,test_loss,test_acc,test_dist_loss,test_dist_acc,N_test,log_sj_martingale,log_cj_martingale,cum_loss_base,roc_auc_base,cum_loss_prot,roc_auc_prot
0,"[0, 1]",0.003063252894207835,0.9990543723106384,1.6234068870544434,0.7172275185585022,1991,116.08951092284472,116.08951092284472,1021.400744588331,0.7349541710409432,753.5219159138036,0.8683719615602034
0,"[0, 2]",0.020456355065107346,0.9940358400344849,1.8051764965057373,0.6039354205131531,1982,214.8119735482648,214.8119735482648,1384.3980429094345,0.640749254473161,889.3860435565144,0.8168814978978588
0,"[0, 3]",0.011670672334730625,0.9954773783683777,1.1704903841018677,0.654683530330658,1975,236.97765204020615,236.97765204020615,1143.1707817277263,0.7535281182822167,597.1115831370644,0.884428485862912
0,"[0, 4]",0.007396411616355181,0.9979613423347473,1.084205150604248,0.6751012206077576,1976,219.362944467896,219.362944467896,1054.0183866429502,0.7548729508196721,548.4940574938955,0.9079702868852458
0,"[0, 5]",0.03156665340065956,0.9909188747406006,1.8161711692810059,0.6511511206626892,1998,169.49930015329116,169.49930015329116,1259.8942695803237,0.7331869967277277,869.2145070383763,0.8823666228224953
0,"[0, 6]",0.044987719506025314,0.9834882020950317,1.3710801601409912,0.6710929870605469,1958,191.27478429579745,191.27478429579745,1117.7953676410343,0.7523428892190579,676.7759379074446,0.9336791759874462
0,"[0, 7]",0.010348382405936718,0.9965139627456665,1.7972760200500488,0.6376518607139587,1976,188.52990791095405,188.52990791095405,1302.4658056837977,0.7385717213114754,867.9977063646894,0.8551157786885246
0,"[0, 8]",0.027237344533205032,0.9918116331100464,1.4453089237213135,0.634451687335968,1997,231.94077483222395,231.94077483222395,1281.2489562060366,0.7268734646200286,746.674618887354,0.8944682166310753
0,"[0, 9]",0.015241063199937344,0.9949724078178406,1.6033943891525269,0.6127877235412598,1955,231.51144354147502,231.51144354147502,1314.6778692981384,0.6233699701937407,781.1731676068516,0.817398985247576
0,"[1, 2]",0.044526733458042145,0.9852330684661865,0.4064439833164215,0.8703612685203552,2021,92.25426726986456,92.25426726986456,425.8083443487063,0.9373835802916491,212.76362162518427,0.9846879315241555
0,"[1, 3]",0.04951906204223633,0.9855477809906006,1.0992274284362793,0.7527309060096741,2014,145.1311735864081,145.1311735864081,887.5532622662379,0.9025123645813301,553.0237073569864,0.9938608559298214
0,"[1, 4]",0.009695151820778847,0.997165858745575,1.599873661994934,0.5905707478523254,2015,240.8656415756852,240.8656415756852,1352.6215281197224,0.6472354679802955,797.617884482658,0.8378394088669952
0,"[1, 5]",0.013056478463113308,0.9960532784461975,0.9659302234649658,0.7137948274612427,2037,203.70552918630108,203.70552918630108,984.4213761755577,0.8259512402032139,514.9411409225743,0.9285049116481736
0,"[1, 6]",0.017361948266625404,0.9952221512794495,1.423998236656189,0.6584877371788025,1997,205.10976198466588,205.10976198466588,1165.4744507386404,0.79259277838532,692.8025840276164,0.9041204739498159
0,"[1, 7]",0.014853844419121742,0.9958391189575195,1.8461710214614868,0.6129032373428345,2015,206.13701677647987,206.13701677647987,1349.1144697092382,0.6326827586206896,874.069790359782,0.7890059113300493
0,"[1, 8]",0.05453311279416084,0.9819819927215576,0.9480733275413513,0.7460707426071167,2036,175.2224532142681,175.2224532142681,896.6923259468075,0.9896247762504645,492.91212113299315,0.9999121888614948
0,"[1, 9]",0.0058685592375695705,0.9976679086685181,1.6873445510864258,0.5391173362731934,1994,308.486477324782,308.486477324782,1573.2838353917734,0.6193421456497783,862.6116566560015,0.7855497466500954
0,"[2, 3]",0.03045014850795269,0.9897159337997437,0.9437045454978943,0.6927681565284729,2005,209.64027451993553,209.64027451993553,963.4079515797443,0.7561040165413924,480.24073494540914,0.9169149268552848
0,"[2, 4]",0.025465933606028557,0.9920555949211121,0.9524446725845337,0.6640079617500305,2006,258.03612740462864,258.03612740462864,1086.3110403607443,0.8785924453280318,491.6912543723992,0.9686441351888668
0,"[2, 5]",0.012561442330479622,0.9968814849853516,1.5267730951309204,0.6834319829940796,2028,164.21444192577877,164.21444192577877,1091.1702232057078,0.7160812035808631,712.6392892541484,0.8598613796672023
0,"[2, 6]",0.03762014955282211,0.987939715385437,0.7281550168991089,0.7726358771324158,1988,146.82953232621554,146.82953232621554,706.2756153697007,0.8646815643815315,367.70438643364224,0.9572675960530098
